click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
3912,2016/7/1,违章停车。,【福建交警】您的小型汽车闽A###2H于2016-06-0416:54在协和医院门口东向，因违反禁令标志指示违法行为，被交通技术监控设备记录，请及时接受处理。当时地上有划停车位的线，为什么还是违停，请问这一段哪里才可以信车。,福州市公安局,2016/7/1,郭盛*：您好！感谢您对福州交通管理工作的关心和支持，您的来邮已收悉，现将问题答复如下：经核查，闽A0612H小型汽车于2016-06-0416:54:55在协和医院门口东向实施机*车违反禁令标志指示的违法行为，事实清楚，证据充分。您所说的地面施划停车位系出租车（临时上下客）停车位不允许其他车辆停靠。该路乱属于禁停路段，请您就近选择正规停车场（库）停放车辆。谢谢。感谢您对公安工作的理解与支持！,,,
3876,2016/7/4,实名举报全国最大的传奇世界私服架设在福州，希望福建省厅领导引起重视,2015年年底，一个名叫封魔工作室昵称的QQ与几个人一起在网上架设了名叫秋水传世的模仿盛大网络旗下的一款传奇世界的游戏私服，到现在已经成为国内最大的传奇世界私服，目前已开三个区，有玩家上千人，取得非法收入上千万。我是南昌的一个普通民警，得知此信息后想通过福州警方告知线索无果，现将线索送至福建省厅。该私服其中一个玩家QQ群号52#####48，参与私服制作人员QQ#####5##73，75####98，30######33，33#####37。该私服网站：http://www.18##58.com/该私服租用的是福州电信的服务器，IP为：106.122.251.35，望福建警方能一举端掉该团伙！,福州市公安局,2016/7/4,杨寅*您好！您的来邮已收悉，现答复如下*1、诉求人反映嫌疑私服网站“www.180758.com”目前服务器IP为*118.193.170.181，位于香港，非其反映的服务器IP为“106.122.251.35”，该IP经查归属地确属福州电信，福州市公安局网安支队已着手开展侦查、取证工作，涉嫌违法的将依据相关法律法规严肃处理。2、诉求人反映的参与私服制作人员的QQ2500751173、QQ75408498、QQ3090266433、QQ332721637所在地不在我市(分别位于兰州、长沙、宁波、南京)；反映的玩家QQ群529773448也未发现涉及福州的相关信息；3、建议该网友携带相关材料直接向管辖地公安机关反映情况，以上信息我们也将作为案件线索继续跟踪侦查，欢迎诉求人提供更多相关的案件线索。感谢您对公安工作的理解与支持！,,,
4089,2016/7/15,关于自学直考制度的采访,您好，我是厦门大学经济学院2014级本科生崔明杰，这次我们小组-自考之厦社会实践小组正在进行社会实践活动，主题是关于自学直考制度，我们希望能跟贵方取得联系并能预定时间进行采访。谢谢,交警总队（交管局）,2016/7/14,崔明杰:您好！来信收悉，现答复如下：根据新闻采访有关规定，您目前正在进行的有关驾驶证自学直考制度社会实践活动不属于新闻采访之列。我厅相关部门已将有关驾驶证自学考试规定向社会进行了公布，如您想进一步了解也可到当地公安机关交通管理部门进行咨询。感谢您对福建公安工作的理解与支持。,满意,2016-53-17 02:53:49,1
5417,2016/7/18,沙县农商银行工作人员信息泄露出去，造成个人贷款损失60万属于刑事案件，希望厅长和省经侦总队调查此案。,本人于2011年1月20日，在沙县城关农商银行用房屋抵押贷款60万，银行信贷员刘丽梅说放款时间会通知我，去银行问了很多次都说放款时间没有那么快，于2011年2月10日把放款时间泄露了张陈华，通知了张陈华放款时间，为什么不通知我本人放款时间，张陈华后来用各种手段把我的银行卡骗去了，私自去银行把我卡里的60万转走了，张陈华男，沙县高砂人，身份证号35#######9090###12，请问下厅长，银行工作人员把我贷款的60万泄露了出去，造成我个人损失60万，刘丽梅属于国家信息泄露罪吗？张陈华，在把我的卡骗去在没有我的同意情况下盗取60万贷款了属于诈骗罪吗？刘丽梅和张陈华这样做，难道没有错吗？希望省厅领导重视此案件，叫张陈华说出来，银行工作人员为什么会把放款时间通知张陈华，放款的内幕。,沙县局,2016/6/24,林建*：您好！你的来邮已收悉，现答复如下：经查，林建*向沙县农商银行（原信用联社）抵押贷款60万元人民币，系正常的银行贷款业务。此前你也向银监部门反映过，银监局对此进行了调查，认为该笔业务不存在违法、违规行为。因该笔贷款牵涉到你与张陈*的债权债务关系，建议你走民事诉讼渠道解决。另张陈*涉嫌信用卡诈骗犯罪，于2016年6月3日已被沙县公安局依法刑事拘留，该案正在进一步侦查中。感谢你对公安工作的理解与支持。,满意,2016-53-17 02:53:10,1
5540,2016/7/22,如何从提高诈骗成本来杜绝电信诈骗的几点建议,尊敬的领导：您好，感谢您抽出几分钟时间来阅读我的信件，并希望我的建议能对贵部门有所帮助。在这里，我不讲如何预防电信诈骗，关于这方面的内容相关媒体报道的也特别多。我也不讲如何抓到犯罪分子，毕竟公安机关比我专业的多。其实，要想杜绝电信诈骗很简单，一句话总结就是：提高他们的诈骗成本。当然了，如果要做到这一点，需要我们社会上尽量多的人参与进来，只要稍微付出一些努力就可以做到，不要因为觉得自己不会上当受骗就置之不理。如果我们放任他们的行为的话，我们身边的人就有可能成为下一个受害者.另外，还需要相关的部门配合才行，但是这个不需要付出多大的成本，也不需要多高的技术。回到我们的正题上来，我们要提高的诈骗成本主要包括三个方面：一是他们的时间成本；二是他们的电话卡成本；三是他们的银行卡成本。其中银行卡成本是最主要的，而且也是最容易做到的。方法呢，我也想了一些，不知道是否可行，还请广大网友支招。第一，如何增加骗子的时间成本。如果大家接到诈骗电话的话，如果空闲时间多，闲得无聊的话，可以不用直接挂掉，而是假装上当，跟骗子周旋。这样不但增加骗子的时间成本，最主要的是要套出他们要转账的银行卡等信息。假设骗子打100个电话，有一个能诈骗成功。如果在这100个人中，有20个人能与骗子周旋，他们的时间成本可能就会增加20倍。这种方法还可以打击骗子的信心。第二，如何增加骗子的电话卡成本收集骗子的电话号码（比如说接到骗子的电话，或者看到小广告上“重金求子”之类的电话），把骗子的电话号码上报给有关部门，有关部门立即核实是否真的是诈骗电话，如果是，封其号码，或者用“呼死你”方法使其停止使用（参考《郑州开启“呼死你”对付小广告效果立竿见影》）。为了鼓励更多的人举报诈骗电话，国家相关部门可以对每个号码的第一个举报者进行奖励。我们国家每年因为电信诈骗损失超过100亿人民币。如果我们每举报一个诈骗电话，奖励10元花费，假设全国有1000万个诈骗电话卡，只需要付出1亿的成本就可以把诈骗电话卡杜绝。第三，如何增加骗子的银行卡成本现在诈骗手段花样繁多，有的诈骗根本不用电话，即使用，可能用的也是网络虚拟号码给你拨打，通过第二种方法很难增加他们的成本。但是绝大多数电信诈骗，最终的目的都是让你给他们转账，这个就需要银行卡。由于现在银行卡都是实名办理的，骗子的银行卡都是买的，一个银行卡大约是300块钱（以前看过相关的报道）。下面我们采取的措施就是让骗子损失尽量多的银行卡。我们一旦有了骗子银行卡的信息，立即上报给金融部门或者执法部门，相关部门可以采取几种措施：（1）立即冻结该银行卡，由其卡的主人持相关证件到银行柜台解锁，银行进行解锁的时候对其进行更为严格的身份验证；（2）放长线，钓大鱼，对银行卡进行全程监控，一旦发现有大笔资金入账，立即对其冻结，这样骗子进行诈骗的时候，对其使用的银行卡究竟有没有被警方监控，心里没底。一旦他们好不容易诈骗成功的钱被冻结了，对他们的信心是毁灭性的打击；（3）如果入账的资金巨大（比如几十万，几百万），一般骗子都会把资金转到多个二级账户，方便在ATM机器上取钱，我们可以等他们把钱都转入到二级账户的时候，在他们把钱取出来之前把二级账户也冻结。上面这三种增加骗子的银行卡成本的方法中，个人感觉采取第一种方法效果最简单有效。我们以电话诈骗为例，还是假设骗子平均骗100个人才能诈骗成功1次，假设成功诈骗一次平均能获得1万元。如果在这100个人中，有20个人设法套取骗子的银行卡信息，并冻结其银行卡，光银行卡的损失就在6000元左右（每张银行卡假设300元），这样骗子即使诈骗成功，获利仅为4000元，再除去其他的费用（比如雇佣马仔取钱，购买相关设备，打这100个电话耗去的时间成本），可能最后骗子都是亏本的。较大的风险没有换来较大的收益，自然有很多人会收手。当然了，为了让更多人去套取骗子的银行卡信息，我们也可以实行一定的奖励措施，比如冻结一个骗子的账号，给第一个举报人奖励10元花费。假设骗子的银行卡共有一千万张，我们只要付出一亿人民币的奖励就可以把骗子的银行卡打击掉，而骗子要购买这些银行卡，可能要花费30亿（还是按每张300元计算）。最后再说一句，在我们这个社会上，只要有20%的人能够做到识破诈骗并主动与骗子周旋，耗费骗子的时间，套取他们的银行卡信息并上报给相关部门，就可以杜绝其他的受害者被骗。祝工作顺利。刘红旗敬上2016.5.31,刑侦总队,2016/7/22,刘红*同志：您好。您关于“如何从提高诈骗成本来杜绝电信诈骗的几点建议”的信件已收悉。现将有关情况答复如下：我省历来高度重视打击防范电信网络（网络信息）诈骗犯罪工作，2010年至2013年电信网络诈骗犯罪工作绩效考核连续4年居全国第一位。2014年以来，我省调整工作思路，实行打防并举、重点防范，取得了明显成效，电信网络诈骗发案升幅逐年下降且远低于全国平均升幅。一、建立省政府打击治理电信网络新型违法犯罪工作联席会议制度。2015年12月1日，省政府批复同意建立由王惠敏副省长担任召集人，省公安厅牵头、27家成员单位组成的省政府联席会议制度，加强对打击治理电信网络新型违法犯罪工作的组织领导和统筹协调。同年12月30日、今年3月11日，省政府先后两次召开联席会议，部署推进打击治理工作。二、建立全省反诈骗工作机制。2015年7月，厦门市成立反诈骗中心，采取“公安、银行、通讯”三方合署办公、一体化运作的做法，得到中央政法委肯定并全国推广。经多次论证，我厅会同福建银监局就全省建成反诈骗工作机制事宜达成一致意见。截至今年4月底，9个设区市反诈骗中心均已建成并投入使用，晋江、石狮、南安、永春、安溪等地也相应成立了县级反诈骗中心。今年以来，全省反诈骗中心针对诈骗嫌疑银行账户的快速查询、止付和冻结工作，成效显著，已成功拦截多起涉案资金百万元以上的电信网络诈骗案件，最大限度挽回了群众的经济损失。三、协调金融部门共建打防措施。2014年8月，我厅与福建银监局联合下发《关于警银联合防范打击虚假信息诈骗犯罪工作的通知》，建立了涉案银行账户快速查询和冻结，涉案银行账户、“灰名单”账户管控和预警等工作机制。同年12月，我厅出台《福建省公安机关奖励银行工作人员成功劝阻被骗群众汇款实施办法（试行）》，将奖励工作制度化、规范化，提高银行工作人员劝阻电信网络诈骗被骗群众汇款的积极性。今年6月，我厅与中国人民银行福州中心支行进一步细化健全涉案银行账户、“灰名单”账户管控预警机制，最大限度拦截诈骗“资金流”。四、协调通信部门共建打防机制。我厅多次牵头省通信管理局、省电信、移动、联通公司等部门，共商联合打击防范虚假信息诈骗犯罪工作措施，并协调相关通信企业对涉案诈骗嫌疑电话进行封堵。2014年11月3日，我厅与省通信管理局联合下发《关于联合打击电话诈骗犯罪的通知》，建立了联席会议、信息线索通报、限制呼叫、共同防范打击宣传等工作机制，有效封堵诈骗“信息流”。五、强化宣传工作，增强群众防骗意识。经省政府批准，我厅于2013年10月组建了福建警方防骗咨询热线，同时在公安厅政务网站增设防骗热线宣传专栏，后又开通腾讯微博、微信在线咨询等载体，逐渐形成反诈骗咨询宣传长效机制。截至目前，防骗咨询热线共接来电12万余个，接群众咨询信息2万余条，每月向群众提供预警通报服务约10万人次。感谢您对公安工作的支持！,满意,2016-53-17 02:53:15,1
6648,2016/7/27,安溪交通违法处理中心差,违法图片查看很少能用的没透明度，处理个违章要排半天队也没处理上，纸取号机没纸没人处理问导台说要找领导（处理人太多了领导也不了解窗口情况人员的素质等，希望记者或有关部门暗访下,泉州市公安局,2016/6/29,龚福*同志：您好！您反映的信访事项来邮已收悉，现答复如下：经查，您反映的交通违法记录是：闽C3K869于2015年11月18日在泉州驿峰路怡庭酒店路口，通过有灯控路口时，不按所需进行方向驶入导向车道。交通违法处理窗口工作人员在处理交通违法行为时，是依据《公安交通管理综合应用平台》上的违法照片进行处理，交通违法照片系监控系统从不同角度自动拍摄的图片。经核查，闽C3K869于2015年11月18日经过泉州驿峰路怡庭酒店路口的交通违法图片清晰，足以认定该交通违法行为。安溪交通违法处理窗口共设五个交通违法处理窗口，其中非现场处理窗口三个、现场处理窗口二个，配备五个工作人员。因交通违法处理人员众多，为有效处理交通违法行为，维持交通违法处理窗口的正常工作秩序，违法处理窗口根据日常处理进度，统筹安排，每日上午发放150票、下午发放120票，根据实际情况再作相应调整。因处理交通违法人员众多，群众需要等候，但窗口都能按发放票数正常处理交通违法。您当日到交通违法窗口处理时，因票数已发放完毕，无法再自行取票，不存在取号机没纸无人处理的问题。为有效遏制非现场违法存在的买卖分数、冒名顶替、代扣驾驶证等问题，交通违法处理窗口工作人员在处理交通违法时，需严格审核把关，详细询问并固定证据。同时为落实便民利民措施，方便无书写能力的群众处理，提高办事效率，原本由群众自己填写的处理材料统一由窗口工作人员填写。综上所述，安溪交通违法处理窗口工作人员工作认真，违法处理窗口井然有序。下一步，安溪县公安局将根据群众的建议，积极采取有效措施，进一步提高交通违法窗口的服务质量和效率，更好地服务人民。感谢您对公安工作的理解和支持！,满意,2016-53-17 02:53:11,1
10,2015/5/14,建议交警值勤时戴头盔保护自己,今晚，看了中央电视台的“新闻周刊”，报道了一位值勤的交警，在处理一件违反交规事件时，被车拖行了十米，经抢救无效由于颅脑创伤死亡。我注意到了，当时交警戴的是一顶大盖帽，我就想，如果戴的是头盔，也许头盔会保护好这位警察，可能就不会死亡。所以，我建议以后交警上路值勤，全部改戴“头盔”或“钢盔”，这样可以多加保护好我们的警察同志。一点点建议，不知投向哪里，看到您的留言页面，就留言在此了，如能起到些许作用，请将转有关部门，谢谢你在百忙中关注我的话题。,交警总队（交管局）,2015/3/31,俞光颂，您好，您的来邮已收悉，现答复如下：首先感谢您对公安工作的关心与宝贵建议。近年来，经济社会的飞速发展带动了机动车、驾驶人与公路里程数量倍增，公安机关也面临着巨大的交通管理工作压力。我们也注意到，近年频繁发生的交通警察在执勤执法中受伤、牺牲的案例，绝大多数系执勤执法安全防护落实不到位、机动车驾驶人交通肇事造成。要预防与避免民警在执勤执法工作中不必要的伤亡，最有效的就是要加强民警执勤执法规范化培训，抓好公安部《交通警察道路执勤执法工作规范》、《交通警察执勤执法安全防护规定》（试行）的落实到位。为此，我厅面向全省交警部门举办了多次执勤执法安全防护培训班，且将执勤执法安全防护规范规定纳入新招录交通警察培训课程。关于交通警察着装问题，《交通警察道路执勤执法工作规范》与《公安机关人民警察着装管理规定》明确规定，公安民警着装时，应当按照规定配套穿着、戴警帽。交通警察在道路上执勤执法应当按照规定穿着制式服装，穿着统一的反光背心；驾乘摩托车时，戴警用头盔。感谢您对公安工作的理解与支持。,,,
10,2015/6/17,C1驾驶证扣12分，能在异地考试吗？,我户口是南平市浦城县，C1驾驶证也是在南平市浦城县考的证，车辆违章地点是南平市区超速一次性被扣12分，因为我工作在莆田，回南平是非常的不方便，现在因为扣12分要考试，想问下能不能在莆田考。还有个问题想问下，比如在厦门违章有扣分的，这罚款或者扣分可以在莆田处理吗？或者在其他城市处理？,莆田市公安局,2015/6/17,"翁建*同志：您好！您的来邮已收悉，现答复如下：一、机动车驾驶人在一个记分周期内累积记分达到12分的,应当在十五日内到机动车驾驶证核发地或者违法行为地公安机关交通管理部门接受为期七日的道路交通安全法律、法规和相关知识学习。机动车驾驶人接受学习后，车辆管理所应当在二十日内对其进行道路交通安全法律、法规知识考试。所以不能在莆田进行考试。二、在厦门违章分两种情况，一是现场单，只能在当地处理；二是非现场单，1.不扣分且单张罚款金额200元（含200元）以下的，可以通过福建公安公众服务大厅进行违章处理。网址是：http://gacljtfk.fjgat.gov.cn:8081/Tra/fapp/buzz/queryMgr/query.jsp?notice=12.有扣分的，可到莆田市任何一个违法处理窗口进行处理，跨县区也可以处理（除权限因故被关闭的除外）。包括：各交警大队、路面上各个违法处理窗口、交警支队车驾管违法处理窗口。三、在高速上违法的，请到高速交警部门处理。感谢您对公安工作的支持。",,,
9,2015/7/29,自选号牌提点建议,关于网上自选号牌，提点建议。是否可以像选手机号一样，只输入关键字符数字，系统就能自动列出类似的号牌供车主选择。如，车主心里想要闽X###XX的号牌，只要输入###，系统就能自动显示出闽X###AB/闽X###AZ等其他可用号牌。另登入一次最多的查询次数太少，没查几个就自动登出，重新登入的话又要再输入一次完整资料，麻烦又费时。,交警总队（交管局）,2015/7/20,吴嘉煌，您好，您的来邮已收悉，现答复如下：因自主选号系统由公安部统一开发部署，目前，“福建省公安厅交警总队交通安全综合服务平台”（http://fj.122.gov.cn）的自主选号平台已全新上线，届时将逐步完善更多功能。感谢您对公安工作的理解与支持。,不满意,2016-16-27 12:16:30,好文章，内容无与伦比.禁止此消息：no####ok@163.com压滤机http://www.he##########ji.com/
11,2015/9/8,高速违章问题,"不是说8月15号开始,高速的违章可以网上处理了?怎么没有办法处理,超10%未超20%的这种,而且也是本人的机动车跟驾驶证",交警总队（交管局）,2015/9/8,您好！您的来邮已收悉，现答复如下：8月15日起，本人名下的机动车交通违法行为，可以在福建交警互联网交通安全综合服务平台（地址：http://fj.122.gov.cn/）处理。感谢您对公安工作的理解与支持。,,,
